Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	0	0	dev[0]=net(0,0-8)	InInterests	69.6	1.62344	87	2.0293
1	0	0	dev[0]=net(0,0-8)	OutInterests	135.2	3.21484	169	4.01855
1	0	0	dev[0]=net(0,0-8)	DropInterests	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	InNacks	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	OutNacks	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	DropNacks	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	InData	67.2	67.5859	84	84.4824
1	0	0	dev[0]=net(0,0-8)	OutData	69.6	70	87	87.5
1	0	0	dev[0]=net(0,0-8)	DropData	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	InInterestPriority0	69.6	1.62344	87	2.0293
1	0	0	dev[0]=net(0,0-8)	OutInterestPriority0	135.2	3.21484	169	4.01855
1	0	0	dev[0]=net(0,0-8)	DropInterestPriority0	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	InInterestPriority1	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	OutInterestPriority1	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	DropInterestPriority1	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	InInterestPriority2	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	OutInterestPriority2	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	DropInterestPriority2	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	InInterestPriority3	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	OutInterestPriority3	0	0	0	0
1	0	0	dev[0]=net(0,0-8)	DropInterestPriority3	0	0	0	0
1	0	1	dev=local(1)	InInterests	135.2	3.21484	169	4.01855
1	0	1	dev=local(1)	OutInterests	0	0	0	0
1	0	1	dev=local(1)	DropInterests	0	0	0	0
1	0	1	dev=local(1)	InNacks	0	0	0	0
1	0	1	dev=local(1)	OutNacks	0	0	0	0
1	0	1	dev=local(1)	DropNacks	0	0	0	0
1	0	1	dev=local(1)	InData	0	0	0	0
1	0	1	dev=local(1)	OutData	67.2	67.5859	84	84.4824
1	0	1	dev=local(1)	DropData	0	0	0	0
1	0	1	dev=local(1)	InInterestPriority0	135.2	3.21484	169	4.01855
1	0	1	dev=local(1)	OutInterestPriority0	0	0	0	0
1	0	1	dev=local(1)	DropInterestPriority0	0	0	0	0
1	0	1	dev=local(1)	InInterestPriority1	0	0	0	0
1	0	1	dev=local(1)	OutInterestPriority1	0	0	0	0
1	0	1	dev=local(1)	DropInterestPriority1	0	0	0	0
1	0	1	dev=local(1)	InInterestPriority2	0	0	0	0
1	0	1	dev=local(1)	OutInterestPriority2	0	0	0	0
1	0	1	dev=local(1)	DropInterestPriority2	0	0	0	0
1	0	1	dev=local(1)	InInterestPriority3	0	0	0	0
1	0	1	dev=local(1)	OutInterestPriority3	0	0	0	0
1	0	1	dev=local(1)	DropInterestPriority3	0	0	0	0
1	0	2	dev=local(2)	InInterests	0	0	0	0
1	0	2	dev=local(2)	OutInterests	69.6	1.62344	87	2.0293
1	0	2	dev=local(2)	DropInterests	0	0	0	0
1	0	2	dev=local(2)	InNacks	0	0	0	0
1	0	2	dev=local(2)	OutNacks	0	0	0	0
1	0	2	dev=local(2)	DropNacks	0	0	0	0
1	0	2	dev=local(2)	InData	69.6	70	87	87.5
1	0	2	dev=local(2)	OutData	0	0	0	0
1	0	2	dev=local(2)	DropData	0	0	0	0
1	0	2	dev=local(2)	InInterestPriority0	0	0	0	0
1	0	2	dev=local(2)	OutInterestPriority0	69.6	1.62344	87	2.0293
1	0	2	dev=local(2)	DropInterestPriority0	0	0	0	0
1	0	2	dev=local(2)	InInterestPriority1	0	0	0	0
1	0	2	dev=local(2)	OutInterestPriority1	0	0	0	0
1	0	2	dev=local(2)	DropInterestPriority1	0	0	0	0
1	0	2	dev=local(2)	InInterestPriority2	0	0	0	0
1	0	2	dev=local(2)	OutInterestPriority2	0	0	0	0
1	0	2	dev=local(2)	DropInterestPriority2	0	0	0	0
